MSO_Code,Device ID,Event Date,Event Time,Station Number,Program Code
01540,000000005b3e,20150104,193000,19600,SH007795570000
01540,000000005b3e,20150104,200000,11486,EP020732470002
01540,000000005b3e,20150104,200000,19600,EP000186930566
01540,000000005b3e,20150104,203000,19600,EP017390090035
01540,000000005b3e,20150104,210000,11486,EP010883320121
01540,000000005b3e,20150104,210000,19600,EP002960010269
01540,000000005b3e,20150104,213000,19600,EP012792980077
01540,000000005b3e,20150104,220000,19600,SH007413630000
01540,000000005b3e,20150104,220600,11486,SH020325450000
01540,000000005b3e,20150104,230000,19600,SH019048920000
01540,000000005b3e,20150104,230300,11486,EP000004390492
01540,000000005b3e,20150104,233000,19600,EP009528282297
01540,000000005e5a,20150104,000000,16123,EP001151270197
01540,000000005e5a,20150104,003000,16123,EP001151270198
01540,000000005e5a,20150104,010000,16123,EP001900610218
01540,000000005e5a,20150104,013000,16123,EP001900610219
01540,000000005e5a,20150104,020000,16123,EP001900610221
01540,000000005e5a,20150104,023000,16123,EP000006580034
01540,000000005e5a,20150104,030000,16123,EP000006580033
01540,000000005e5a,20150104,033000,16123,EP000006580035
01540,000000005e5a,20150104,040000,16123,EP000006580037
01540,000000005e5a,20150104,043000,16123,EP000006580030
01540,000000005e5a,20150104,050000,16123,EP000006580097
01540,000000005e5a,20150104,053000,16123,EP000006580036
01540,000000005e5a,20150104,060000,16123,EP000174760114
01540,000000005e5a,20150104,063000,16123,EP000174760117
01540,000000005e5a,20150104,070000,16123,EP000174760119
01540,000000005e5a,20150104,073000,16123,EP000174760118
01540,000000005e5a,20150104,080000,16123,EP000875910001
01540,000000005e5a,20150104,080459,11913,EP000018936973
01540,000000005e5a,20150104,084050,11066,SH016405420000
01540,000000005e5a,20150104,084057,16834,EP016763660010
01540,000000005e5a,20150104,084104,15295,MV000044590000
01540,000000005e5a,20150104,084110,11913,EP000018936973
01540,000000005e5a,20150104,090000,11913,SH006856680000
01540,000000005e5a,20150104,090139,10918,SH002830790000
01540,000000005e5a,20150104,090533,60150,SH002830790000
01540,000000005e5a,20150104,093000,60150,SH000000010000
01540,000000005e5a,20150104,100000,60150,MV004124100000
01540,000000005e5a,20150104,120000,60150,MV005696200000
01540,000000005e5a,20150104,123825,70387,EP017888470010
01540,000000005e5a,20150104,123840,16123,EP015237840035
01540,000000005e5a,20150104,123849,24634,SH004010240000
01540,000000005e5a,20150104,125848,54702,EP000006580041
01540,000000005e5a,20150104,130000,54702,EP000006580049
01540,000000005e5a,20150104,130036,16123,EP000036710093
01540,000000005e5a,20150104,130051,54702,EP000006580049
01540,000000005e5a,20150104,133000,54702,EP000006580052
01540,000000005e5a,20150104,140000,54702,EP000026900133
01540,000000005e5a,20150104,143711,99993,MP_MISSINGPROGRAM
01540,000000005e5a,20150104,152510,54702,EP000035980079
01540,000000005e5a,20150104,160000,54702,EP000040280070
01540,000000005e5a,20150104,163448,14767,SH007840990000
01540,000000005e5a,20150104,163515,11066,EP000044070005
01540,000000005e5a,20150104,170000,11066,EP000044070007
01540,000000005e5a,20150104,170056,54702,EP000029340108
01540,000000005e5a,20150104,173041,24634,SH004010240000
01540,000000005e5a,20150104,173121,99993,MP_MISSINGPROGRAM
01540,000000005e5a,20150104,181713,24634,SH004010240000
01540,000000005e5a,20150104,181724,70387,EP018630340010
01540,000000005e5a,20150104,181737,16123,EP000174760099
01540,000000005e5a,20150104,181758,99993,MP_MISSINGPROGRAM
01540,000000005e5a,20150104,205435,16123,EP000174760118
01540,000000005e5a,20150104,205442,70387,EP018630340008
01540,000000005e5a,20150104,205453,16123,EP000174760118
01540,000000005e5a,20150104,205911,24634,SH004010240000
01540,000000005e5a,20150104,205919,70387,EP018630340008
01540,000000005e5a,20150104,205937,16123,EP000174760118
01540,000000005e5a,20150104,210000,16123,EP001900610220
01540,000000005e5a,20150104,210018,54702,EP000010050005
01540,000000005e5a,20150104,210034,16123,EP001900610220
01540,000000005e5a,20150104,210317,11164,MV001158300000
01540,000000005e5a,20150104,210323,24634,SH004010240000
01540,000000005e5a,20150104,210442,10918,MV002664580000
01540,000000005e5a,20150104,210834,60150,MV002664580000
01540,000000005e5a,20150104,213229,16123,EP001900610001
01540,000000005e5a,20150104,213834,14767,SH006211840000
01540,000000005e5a,20150104,213847,16123,EP001900610001
01540,000000005e5a,20150104,215412,10918,MV002664580000
01540,000000005e5a,20150104,215546,16123,EP001900610001
01540,000000005e5a,20150104,215553,10918,MV002664580000
01540,000000005e5a,20150104,215626,16123,EP001900610001
01540,000000005e5a,20150104,220000,16123,EP002776100109
01540,000000005e5a,20150104,220028,24634,SH004010240000
01540,000000005e5a,20150104,220107,11486,EP010883320121
01540,000000005e5a,20150104,220527,10918,MV002664580000
01540,000000005e5a,20150104,221022,11486,SH020325450000
01540,000000005e5a,20150104,230300,11486,EP000004390492
01540,000000006075,20150104,140439,16123,EP000036710076
01540,000000006075,20150104,140743,30754,EP000031281216
01540,000000006075,20150104,163000,30754,SP003085720000
01540,000000006075,20150104,165058,11948,EP000031281283
01540,000000006075,20150104,165107,42599,EP000031281283
01540,000000006075,20150104,171201,51529,EP018343350010
01540,000000006075,20150104,171530,42599,EP000031281283
01540,000000006075,20150104,172347,51529,EP018343350010
01540,000000006075,20150104,172402,42599,EP000031281283
01540,000000006075,20150104,173556,51529,EP018343350010
01540,000000006075,20150104,173618,42599,EP000031281283
01540,000000006075,20150104,175703,51529,EP018343350010
01540,000000006075,20150104,180000,51529,EP013413450051
01540,000000006075,20150104,183000,51529,EP013413450052
01540,000000006075,20150104,183553,42599,EP000031281283
01540,000000006075,20150104,193000,42599,SH007795570000
01540,000000006075,20150104,194533,11867,EP009311820017
01540,000000006075,20150104,200000,11867,EP009311820018
01540,000000006075,20150104,200101,11896,EP019222940012
01540,000000006075,20150104,205816,11486,EP020732470002
01540,000000006075,20150104,210000,11486,EP010883320121
01540,000000006075,20150104,220600,11486,SH020325450000
01540,000000006075,20150104,221140,32645,EP000009937448
01540,000000006075,20150104,221953,11867,EP009311820022
01540,000000006075,20150104,222103,32645,EP000009937448
01540,000000006075,20150104,222109,11867,EP009311820022
01540,000000006075,20150104,222130,32645,EP000009937448
01540,000000006075,20150104,223225,11867,EP009311820023
01540,000000006075,20150104,223251,32645,EP000009937448
